@attribute Std_Mem20_MFCC5_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC6_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC7_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC8_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC9_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC10_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC11_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute Std_Mem20_MFCC12_Power_powerFFT_WinHamming_HopSize512_WinSize512_Sum_AudioCh0 real
@attribute output {water60}


@data
% filename water60.wav
% srate 86.1328
-56.517988,3.515668,0.291259,0.928590,0.022220,0.273890,-0.219456,-0.238674,-0.228090,-0.032308,0.178287,-0.033708,-0.166586,1.227904,0.764325,0.680671,0.417391,0.707540,0.625289,0.468634,0.444251,0.454242,0.484498,0.400991,0.427860,0.414071,
-56.436814,3.535515,0.277579,0.910155,0.048546,0.298923,-0.279907,-0.275551,-0.255245,-0.025972,0.238729,0.019074,-0.166914,1.188399,0.751654,0.684237,0.423424,0.725118,0.607601,0.544302,0.529724,0.471105,0.488744,0.472687,0.495037,0.414024,
-56.308888,3.456098,0.351977,0.929121,0.036971,0.302433,-0.331879,-0.263605,-0.232702,-0.004339,0.215626,0.022716,-0.174626,1.220873,0.694757,0.776762,0.428026,0.726147,0.608682,0.548262,0.544573,0.479354,0.498975,0.479041,0.498863,0.424412,
-56.228906,3.480954,0.371524,0.948008,0.022776,0.271499,-0.355946,-0.258396,-0.205512,-0.014647,0.260710,0.046592,-0.126952,1.191676,0.681899,0.780883,0.436696,0.728460,0.601841,0.541534,0.547839,0.482473,0.501384,0.506631,0.492001,0.418686,
-56.180236,3.486998,0.329127,0.905339,-0.031666,0.226608,-0.326335,-0.209709,-0.155423,0.017002,0.302973,0.053773,-0.138603,1.135367,0.682802,0.773159,0.464239,0.784981,0.574643,0.591636,0.603438,0.429989,0.443105,0.499408,0.488684,0.427650,
-56.136393,3.494137,0.289568,0.906507,0.041427,0.292711,-0.310261,-0.200260,-0.104709,-0.001250,0.285928,0.021316,-0.145866,1.155131,0.686208,0.780811,0.464367,0.774514,0.538595,0.600211,0.604976,0.446875,0.429603,0.500565,0.445623,0.427438,
-56.044211,3.505921,0.275495,0.934646,0.069147,0.324443,-0.217682,-0.114079,-0.063739,-0.026101,0.289069,0.012618,-0.208933,1.167374,0.697822,0.768234,0.480544,0.750465,0.548996,0.715376,0.652016,0.482498,0.413322,0.498286,0.444160,0.441317,
-56.007698,3.588879,0.382525,0.929271,0.076678,0.320079,-0.219445,-0.065619,-0.048688,-0.019407,0.339921,0.037880,-0.210971,1.169758,0.667880,0.755837,0.478050,0.741122,0.550267,0.715069,0.652957,0.471416,0.418026,0.515119,0.429470,0.443003,
-55.882582,3.707366,0.446914,0.944090,0.016467,0.284745,-0.143353,-0.033948,-0.037673,-0.017327,0.334642,0.030372,-0.239375,1.064395,0.612366,0.723470,0.483033,0.740913,0.559065,0.766217,0.671707,0.465464,0.416126,0.513049,0.426529,0.437593,
-55.772318,3.691442,0.410825,0.952831,0.017174,0.295059,-0.184904,-0.051292,-0.061473,0.055090,0.316959,0.044839,-0.203534,1.050597,0.613266,0.753202,0.475205,0.740579,0.553587,0.791595,0.674294,0.449741,0.442223,0.521047,0.425564,0.463435,
